Gender, Age, Debt, Married_status, BankCustomer, EducationLevel, Ethnicity, YearsEmployed, NoPriorDefault, Employed, CreditScore, DriversLicense, Citizen, ZipCode, Income,Tweet,ApprovalStatus
a,19.17,8.585,u,g,cc,h,0.75,t,t,7,f,g,96,0,RT @arnabch01: With #Exascale expect quantum leap in #AI #ML #robotics #Aerospace #auto #pharma $GOOG $MSFT $INTC $AAPL $AMD $AMZN $F $GM $…,+
b,25,11.25,u,g,c,v,2.5,t,t,17,f,g,200,1208,The Most Overhyped Company In The World https://t.co/vmuS5TjOl3 $WFM $AMZN,+
b,23.25,1,u,g,c,v,0.835,t,f,0,f,s,300,0,"RT @dissruption: ""I sell books."" versus ""I sell whatever the fuck I want."" $AMZN https://t.co/j0TTnE7wFc",+
a,47.75,8,u,g,c,v,7.875,t,t,6,t,g,0,1260,"$AMZN: https://t.co/aS62oWCK2F, Inc. has gained a star, now a 3 star stock. (https://t.co/mKXGfc7DZj)",+
a,27.42,14.5,u,g,x,h,3.085,t,t,1,f,g,120,11,"$AMZN: The earnings of https://t.co/aS62oWCK2F, Inc. are now forecast to grow. (https://t.co/mKXGfc7DZj)",+
a,41.17,6.5,u,g,q,v,0.5,t,t,3,t,g,145,0,"$AMZN: The forecast EPS for https://t.co/aS62oWCK2F, Inc. has increased to $4.18 from $3.82 in the last week. (https://t.co/mKXGfc7DZj)",+
a,15.83,0.585,u,g,c,h,1.5,t,t,2,f,g,100,0,Folks long $AMZN should remember the time when $CSCO was worth $554B. $AMZN is built on a big fat lie. No 1 knows what its worth. @jimcramer,+
a,47,13,u,g,i,bb,5.165,t,t,9,t,g,0,0,$TGT won't back down from $AMZN!cherry bomb #tastytrade https://t.co/HaFfEpsxc0 https://t.co/NlxrYNX5XN,+
b,56.58,18.5,u,g,d,bb,15,t,t,17,t,g,0,0,Amazon And Whole Foods Challenge The Food Industry https://t.co/0BzYWrrTy8 $AMZN $WFM $PBJ $FTXG #investing #stocks #Food #trade #traders,+
b,57.42,8.5,u,g,e,h,7,t,t,3,f,g,0,0,Buy Ulta Beauty - Sell Sprouts Farmers Market https://t.co/gF1stXtLTw $AMZN $COST $ULTA $SFM,+
b,42.08,1.04,u,g,w,v,5,t,t,6,t,g,500,10000,RT @option_snipper: checked charts briefly. $tsla $nvda $fb $googl $amzn all looking for MAJOR b/o here. BUT pop &amp; fade likely. then next w…,+
b,29.25,14.79,u,g,aa,v,5.04,t,t,5,t,g,168,0,"RT SeekingAlpha ""Buy Ulta Beauty - Sell Sprouts Farmers Market https://t.co/TYojjFyP5V $AMZN $COST $ULTA $SFM""",+
b,42,9.79,u,g,x,h,7.96,t,t,8,f,g,0,0,Dividend Royalty: The Draw Of Undervalued Aristocrats https://t.co/kyjBlBx3LG $COP $CB $CMI $PM $MCD $GD $BA $BDX $AMZN $GWW $TGT,+
b,49.5,7.585,u,g,i,bb,7.585,t,t,15,t,g,0,5000,RT @TheStreet: Amazon is on the verge of a colossal breakdown https://t.co/Heh52UQhxN $AMZN https://t.co/BISpUmuzr9,+
a,36.75,5.125,u,g,e,v,5,t,f,0,t,g,0,4000,. $AMZN AWS gets its first body blow. Walmart to go big with Nvidia-based cloud to take on Amazon: analyst https://t.co/VFXJWZJWDv,+
a,22.58,10.75,u,g,q,v,0.415,t,t,5,t,g,0,560,FIVE MINUTE TRADES ON WATCH -  https://t.co/moCrpqc4V7  $NFLX $SPY $IWM $VIX $UVXY $SVXY $TSLA $FB $AMZN $GOOGL $BABA $BIDU $IWM $QQQ $PCLN,+
b,27.83,1.5,u,g,w,v,2,t,t,11,t,g,434,35,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,27.25,1.585,u,g,cc,h,1.835,t,t,12,t,g,583,713,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
a,23,11.75,u,g,x,h,0.5,t,t,2,t,g,300,551,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,27.75,0.585,y,p,cc,v,0.25,t,t,2,f,g,260,500,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,54.58,9.415,u,g,ff,ff,14.415,t,t,11,t,g,30,300,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,34.17,9.17,u,g,c,v,4.5,t,t,12,t,g,0,221,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,28.92,15,u,g,c,h,5.335,t,t,11,f,g,0,2283,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,29.67,1.415,u,g,w,h,0.75,t,t,1,f,g,240,100,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,39.58,13.915,u,g,w,v,8.625,t,t,6,t,g,70,0,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,56.42,28,y,p,c,v,28.5,t,t,40,f,g,0,15,$AMZN nice follow through again for us… which is nice. Raise the stop to LOD &amp; look for 50MA to unload. Keep it simple. 🤑,+
b,54.33,6.75,u,g,c,h,2.625,t,t,11,t,g,0,284,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
a,41,2.04,y,p,q,h,0.125,t,t,23,t,g,455,1236,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,31.92,4.46,u,g,cc,h,6.04,t,t,3,f,g,311,300,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,41.5,1.54,u,g,i,bb,3.5,f,f,0,f,g,216,0,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,23.92,0.665,u,g,c,v,0.165,f,f,0,f,g,100,0,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
a,25.75,0.5,u,g,c,h,0.875,t,f,0,t,g,491,0,$AMZN facing class action lawsuit over fake eclipse glasses #stocks #investing #trading https://t.co/QeY8xRPdKS,+
b,26,1,u,g,q,v,1.75,t,f,0,t,g,280,0,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,37.42,2.04,u,g,w,v,0.04,t,f,0,t,g,400,5800,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,34.92,2.5,u,g,w,v,0,t,f,0,t,g,239,200,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,34.25,3,u,g,cc,h,7.415,t,f,0,t,g,0,0,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,23.33,11.625,y,p,w,v,0.835,t,f,0,t,g,160,300,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,23.17,0,u,g,cc,v,0.085,t,f,0,f,g,0,0,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,44.33,0.5,u,g,i,h,5,t,f,0,t,g,320,0,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,35.17,4.5,u,g,x,h,5.75,f,f,0,t,s,711,0,What should you do with $AMZN #stock? https://t.co/4WppP9kQ8D #investing #trading https://t.co/ErbpyieLNf,+
b,43.25,3,u,g,q,h,6,t,t,11,f,g,80,0,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,56.75,12.25,u,g,m,v,1.25,t,t,4,t,g,200,0,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,31.67,16.165,u,g,d,v,3,t,t,9,f,g,250,730,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
a,23.42,0.79,y,p,q,v,1.5,t,t,2,t,g,80,400,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
a,20.42,0.835,u,g,q,v,1.585,t,t,1,f,g,0,0,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,26.67,4.25,u,g,cc,v,4.29,t,t,1,t,g,120,0,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,34.17,1.54,u,g,cc,v,1.54,t,t,1,t,g,520,50000,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
a,36,1,u,g,c,v,2,t,t,11,f,g,0,456,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,25.5,0.375,u,g,m,v,0.25,t,t,3,f,g,260,15108,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,19.42,6.5,u,g,w,h,1.46,t,t,7,f,g,80,2954,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,35.17,25.125,u,g,x,h,1.625,t,t,1,t,g,515,500,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,+
b,32.33,7.5,u,g,e,bb,1.585,t,f,0,t,s,420,0,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,-
b,34.83,4,u,g,d,bb,12.5,t,f,0,t,g,?,0,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,-
a,38.58,5,u,g,cc,v,13.5,t,f,0,t,g,980,0,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,-
b,44.25,0.5,u,g,m,v,10.75,t,f,0,f,s,400,0,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,-
b,44.83,7,y,p,c,v,1.625,f,f,0,f,g,160,2,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,-
b,20.67,5.29,u,g,q,v,0.375,t,t,1,f,g,160,0,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,-
b,34.08,6.5,u,g,aa,v,0.125,t,f,0,t,g,443,0,https://t.co/5wbklwzXzd You can now buy Whole Foods products on Amazon — here are 13 of the most popular items now available online ($AMZN),-
a,19.17,0.585,y,p,aa,v,0.585,t,f,0,t,g,160,0,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,-
b,21.67,1.165,y,p,k,v,2.5,t,t,1,f,g,180,20,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,-
b,21.5,9.75,u,g,c,v,0.25,t,f,0,f,g,140,0,RT @philstockworld: Enthusiastic Thursday - Dressing the Windows for the Holidays $AMZN $SPY $WFM $SVU $GILD -- https://t.co/r4mjMP6a3E htt…,-
b,49.58,19,u,g,ff,ff,0,t,t,1,f,g,94,0,Does @GQStyle have a rich and powerful tech guy edition I can’t get? $AMZN $UBER https://t.co/L8e8pS2I2S,-
a,27.67,1.5,u,g,m,v,2,t,f,0,f,s,368,0,$TGT ditches $AMZN cloud service #MarketAnalysis #StockMarket: https://t.co/JTQxmG80ou https://t.co/6UGuFVjmRj,-
b,39.83,0.5,u,g,m,v,0.25,t,f,0,f,s,288,0,RT @RudyHavenstein: Epic. $AMZN @washingtonpost https://t.co/HQJ2LEzFa4 https://t.co/z2jkg8jWfm,-
a,?,3.5,u,g,d,v,3,t,f,0,t,g,300,0,RT @stockpicklist: As #PROMISED $ECEZ now up 36% from earlier a 22% #gains #wow #money #stocks $nxgh $qban $knsc $potn $boa $amzn $twtr $bv…,-
b,27.25,0.625,u,g,aa,v,0.455,t,f,0,t,g,200,0,Google's AR App Entry Shows Why Netflix Should Be Worried https://t.co/a6TNM8fHHi $AAPL $AMZN $FB $NFLX $WMT $GOOG $GOOGL,-
b,37.17,4,u,g,c,bb,5,t,f,0,t,s,280,0,AMAZON HIT with class-action suit over fake eclipse glasses $AMZN  - NY Post  https://t.co/bUc9iF2IX5,-
b,?,0.375,u,g,d,v,0.875,t,f,0,t,s,928,0,AMAZON HIT with class-action suit over fake eclipse glasses $AMZN  - NY Post  https://t.co/3sy9pxqtRd,-
b,25.67,2.21,y,p,aa,v,4,t,f,0,f,g,188,0,BuyWrite Search $SPY $JCP $TWTR $SNAP $AAPL $AMZN $BBT $SBUX $WATT $BUDU $FB $WMT $DIS $TMUS $IBM $XOM $FB $GDX $CHK https://t.co/66VxDa9zZO,-
b,34,4.5,u,g,aa,v,1,t,f,0,t,g,240,0,it would be all over if Buffet disclosed a $AMZN stake...now would be a good time.,-
a,49,1.5,u,g,j,j,0,t,f,0,t,g,100,27,"RT @Mojie007: Oh my, try to buy puts...they give it to your willingly ....try it in $TSLA $AMZN or any of these mo-mo stocks..calls 2x puts…",-
b,62.5,12.75,y,p,c,h,5,t,f,0,f,g,112,0,RT @Crowd_indicator: $GOOG $AMZN $LNKD earnings after the market close today.,-
b,31.42,15.5,u,g,c,v,0.5,t,f,0,f,g,120,0,"RT @Crowd_indicator: $AMZN 30c miss, $GOOG 46c surprise",-
b,?,5,y,p,aa,v,8.5,t,f,0,f,g,0,0,"RT @Crowd_indicator: Early gappers: $AMZN -4.4%, $GOOG +2%. Good morning!",-
b,52.33,1.375,y,p,c,h,9.46,t,f,0,t,g,200,100,RT @Crowd_indicator: 5 new questions have been just added! Check them and make your predictions! $BABA $AMZN $EXPE,-
b,28.75,1.5,y,p,c,v,1.5,t,f,0,t,g,0,225,RT @andreascseh: Amazon is hanging there like a drunken fool will settle around $80 $AMZN $QQQ #ecommerce @Options https://t.co/CpFZi7VZSr,-
a,28.58,3.54,u,g,i,bb,0.5,t,f,0,t,g,171,0,AMAZON HIT with class-action suit over fake eclipse glasses $AMZN - NY Post  https://t.co/3sy9pxqtRd,-
b,23,0.625,y,p,aa,v,0.125,t,f,0,f,g,180,1,AMAZON HIT with class-action suit over fake eclipse glasses $AMZN - NY Post  https://t.co/bUc9iF2IX5,-
b,?,0.5,u,g,c,bb,0.835,t,f,0,t,s,320,0,RT @BI_Advertising: Amazon pushes programmatic ad efforts $AMZN https://t.co/QmX3lUq2bh https://t.co/0H1Jw30PP0,-
a,22.5,11,y,p,q,v,3,t,f,0,t,g,268,0,AMZN broke the brearish diagonal  $AMZN https://t.co/d5MN4t2OqS,-
a,28.5,1,u,g,q,v,1,t,t,2,t,g,167,500,RT @GerberKawasaki: Whole Foods. Wow. $amzn #Strawberries https://t.co/jzBpuiMNfG,-
b,37.5,1.75,y,p,c,bb,0.25,t,f,0,t,g,164,400,RT @GerberKawasaki: Whole Foods. Wow. $amzn #Strawberries https://t.co/jzBpuiMNfG,-
b,35.25,16.5,y,p,c,v,4,t,f,0,f,g,80,0,RT @stockpicklist: As #PROMISED $ECEZ now up 36% from earlier a 22% #gains #wow #money #stocks $nxgh $qban $knsc $potn $boa $amzn $twtr $bv…,-
b,18.67,5,u,g,q,v,0.375,t,t,2,f,g,0,38,"RT @dissruption: ""I sell books."" versus ""I sell whatever the fuck I want."" $AMZN https://t.co/j0TTnE7wFc",-
b,25,12,u,g,k,v,2.25,t,t,2,t,g,120,5,"RT @amigobulls: Buy #Amazon Stock,#NVIDIA Stock And #Netflix Stock: Today's #Technical Trading Ideas $AMZN $NVDA $NFLX https://t.co/dSVRZ83…",-
b,27.83,4,y,p,i,h,5.75,t,t,2,t,g,75,0,"3 Top Internet of Things Stocks to Buy Now @themotleyfool #stocks $AMZN, $TXN, $NXPI, $QCOM, $PI https://t.co/80POGVDLt5",-
b,54.83,15.5,u,g,e,z,0,t,t,20,f,g,152,130,Wall Street Breakfast: Investors Ready For Jobs Report https://t.co/FAC4VOo0a3 $SPY $QQQ $AAPL $AMZN $BHP $FDX $LULU $MCFYY $SIX $SSNLF,-
b,28.75,1.165,u,g,k,v,0.5,t,f,0,f,s,280,0,$AMZN gapping $4 and $NVDA up a buck!  Not a bad premarket start.,-
a,25,11,y,p,aa,v,4.5,t,f,0,f,g,120,0,"RT @dissruption: ""I sell books."" versus ""I sell whatever the fuck I want."" $AMZN https://t.co/j0TTnE7wFc",-
b,40.92,2.25,y,p,x,h,10,t,f,0,t,g,176,0,RT @Crowd_indicator: Hope everyone is ready for todays trading. We are! Good morning! $SPY $AMZN $AAPL $FB #ES_F,-
a,19.75,0.75,u,g,c,v,0.795,t,t,5,t,g,140,5,"RT @dissruption: ""I sell books."" versus ""I sell whatever the fuck I want."" $AMZN https://t.co/j0TTnE7wFc",-
b,29.17,3.5,u,g,w,v,3.5,t,t,3,t,g,329,0,"RT @dissruption: ""I sell books."" versus ""I sell whatever the fuck I want."" $AMZN https://t.co/j0TTnE7wFc",-
a,24.5,1.04,y,p,ff,ff,0.5,t,t,3,f,g,180,147,"RT @dissruption: ""I sell books."" versus ""I sell whatever the fuck I want."" $AMZN https://t.co/j0TTnE7wFc",-
b,24.58,12.5,u,g,w,v,0.875,t,f,0,t,g,260,0,RT @TCMLLC: When you understand crowd psychology &amp; how moves set up this Oops setup is your best friend. $FB $AMZN $GOOGL $QQQ $SPY were te…,-
a,33.75,0.75,u,g,k,bb,1,t,t,3,t,g,212,0,"Heating up going into the weekend $AMZN, $BVTK, $SMH, $TMXN, $IDDR, $ALL https://t.co/3UE1yNhRgm https://t.co/2r4Y4uYrF6",-
b,20.67,1.25,y,p,c,h,1.375,t,t,3,t,g,140,210,RT @GerberKawasaki: Whole Foods. Wow. $amzn #Strawberries https://t.co/jzBpuiMNfG,-
a,25.42,1.125,u,g,q,v,1.29,t,t,2,f,g,200,0,Trade the technicals. Buy #Amazon #Stock $AMZN https://t.co/dSVRZ83HTP,-
b,37.75,7,u,g,q,h,11.5,t,t,7,t,g,300,5,Dividend Strategy: My Grandfather's Dividend Growth Portfolio https://t.co/Z74S4RHKDi $ABT $ADM $AMZN $BF.B $CE $DEO $DIS $GE $HON $IFF,-
b,52.5,6.5,u,g,k,v,6.29,t,t,15,f,g,0,11202,.@MarketWatch weekend roundup: Cancer gene therapy | Exposing bad investment advice https://t.co/r5jsgMfxNC $AMZN… https://t.co/yoAE8hwCGz,+
b,57.83,7.04,u,g,m,v,14,t,t,6,t,g,360,1332,America's Top 50 Companies - Stock Performances Good But Mixed https://t.co/7PDBZ8iTqb  $CX $AMZN $MCD $V $TSM $MSFT,+
a,20.75,10.335,u,g,cc,h,0.335,t,t,1,t,g,80,50,RT @DonutShorts: The $AMZN effect as seen in the jobs report https://t.co/6e6l6OSSGL,+
b,39.92,6.21,u,g,q,v,0.04,t,t,1,f,g,200,300,RT @DonutShorts: The $AMZN effect as seen in the jobs report https://t.co/6e6l6OSSGL,+
b,25.67,12.5,u,g,cc,v,1.21,t,t,67,t,g,140,258,RT @DonutShorts: The $AMZN effect as seen in the jobs report https://t.co/6e6l6OSSGL,+
a,24.75,12.5,u,g,aa,v,1.5,t,t,12,t,g,120,567,$AMZN $ES_F unlocked,+
a,44.17,6.665,u,g,q,v,7.375,t,t,3,t,g,0,0,RT @WhatILearnedTW: Tech giants now far outpacing all others in R&amp;D spending: $AMZN recently beat out VW to become biggest corp R&amp;D spender…,+
a,23.5,9,u,g,q,v,8.5,t,t,5,t,g,120,0,IBM - Blockchain Boost From New International Bank Project? https://t.co/kkUeA3CFE8 $AMZN $GOOG $MSFT $V $IBM,+
b,34.92,5,u,g,x,h,7.5,t,t,6,t,g,0,1000,"RT @TheBubbleBubble: Amazon's Powerful Bull Market Could End, @DougKass Reveals: https://t.co/xWY0xNoqRy $AMZN $QQQ",+
b,47.67,2.5,u,g,m,bb,2.5,t,t,12,t,g,410,2510,$TGT Catching Up To $AMZN &amp; $WMT? Or #FakeNews?  https://t.co/R6tqGvnqLz,+
b,22.75,11,u,g,q,v,2.5,t,t,7,t,g,100,809,"RT @QTRResearch: $AMZN spikes lower, $COST spikes higher - something's up",+
b,34.42,4.25,u,g,i,bb,3.25,t,t,2,f,g,274,610,Cost to Protect Your Downside $NTNX $AMBA $GE $HIMX $HTX $SPY $AMZN $HTZ $F $GM $MAT $CRC $FCG $PH $PANW $CDZI $HIIQ https://t.co/MYv3c9PiRm,+
a,28.42,3.5,u,g,w,v,0.835,t,f,0,f,s,280,0,"I think $AMZN would be somewhere between $1,000.35 and $1,006.52 by 13 September 2017. https://t.co/Mc9PiDwHgs https://t.co/6QQd1RyPi6",+
b,67.75,5.5,u,g,e,z,13,t,t,1,t,g,0,0,$AMZN Downside Puts Trade for $413K https://t.co/MsFb43xdsb,+
b,20.42,1.835,u,g,c,v,2.25,t,t,1,f,g,100,150,"$INTC $NVDA $XLNX $GOOGL $AMZN:  Intel Can Beat Nvidia in ‘Inference’ of AI, Says Morningstar:  https://t.co/YduPMe3K5T",+
